GEOID;DESIGNACAO;IVolumetria;vagos_perc;IMedia_edif;aloj_habitual_perc;dimensao_aloj;aloj_por_familia;arrendamento_perc;ind_envelhecimento;ind_qualificacoes;ind_migraçao;primario_perc;secundario_perc;terciario_perc;divisoes_n;FAC1_3;FAC2_3;FAC3_3;FAC4_3;FAC5_3;CLU6_1;populacao;COVIDConfirmadosAcum;COVID_confirmados_10mil_hab
101;Águeda;1.73;0.13;36.1;0.76;144.41;1.31;0.08;101.84;7.65;96.42;0.01;0.49;0.49;3.39;1.08;-1.33;-1.13;0.29;-0.43;1;47729;202;42.32
102;Albergaria-a-Velha;1.71;0.14;38.21;0.74;136.91;1.33;0.07;86.86;7.63;96.08;0.02;0.45;0.53;3.38;1;-1.06;-0.97;0.15;0.07;1;25252;153;60.59
103;Anadia;1.63;0.15;37.8;0.72;148.89;1.39;0.06;133.94;7.67;96.62;0.04;0.4;0.57;3.39;0.7;-0.61;-1.64;0.6;0.21;1;29150;111;38.08
104;Arouca;1.65;0.09;34.21;0.69;128.59;1.44;0.06;83.43;7.11;95.6;0.07;0.46;0.48;3.32;0.68;-1.61;-0.54;-0.96;-0.94;2;22359;272;121.65
105;Aveiro;2;0.12;35.72;0.75;134.47;1.31;0.17;84.75;8.87;101.39;0.01;0.28;0.7;3.4;1.45;1.19;-0.38;0.27;-0.75;3;78450;626;79.8
106;Castelo de Paiva;1.67;0.12;37.82;0.75;115.41;1.33;0.1;68.75;7.01;94.75;0.03;0.51;0.46;3.34;1.06;-2.12;0.15;-0.97;-0.06;2;16733;88;52.59
107;Espinho;1.93;0.12;40.74;0.76;115.42;1.31;0.23;113.96;7.98;98.18;0.01;0.31;0.68;3.4;1.28;-0.04;1.13;-0.11;0.08;3;31786;232;72.99
108;Estarreja;1.59;0.14;38.75;0.74;138.05;1.34;0.09;98.77;7.53;96.29;0.03;0.42;0.55;3.4;0.95;-0.94;-1.1;0.24;0.18;1;26997;131;48.52
109;Santa Maria da Feira;1.84;0.09;33.63;0.8;132.47;1.24;0.12;68.53;7.61;96.78;0.01;0.46;0.53;3.4;1.3;-1.25;-0.19;0.13;-1.18;2;139312;1063;76.3
110;Ílhavo;1.73;0.11;34.18;0.66;136.93;1.51;0.1;79.14;8.18;95.29;0.04;0.3;0.65;3.41;0.59;0.03;-0.67;0.91;-0.6;1;38598;275;71.25
111;Mealhada;1.71;0.13;35.31;0.75;147.86;1.31;0.07;113.01;7.99;96.93;0.02;0.32;0.66;3.39;0.88;0.12;-1.47;0.62;-0.25;1;20428;55;26.92
112;Murtosa;1.62;0.05;40.11;0.5;134.18;2;0.04;106.75;7.05;95.34;0.16;0.31;0.52;3.42;-0.76;-1.04;-0.32;0.32;-1.14;4;10585;33;31.18
113;Oliveira de Azeméis;1.77;0.12;37.02;0.8;135.26;1.24;0.14;88.51;7.38;96.38;0.01;0.56;0.42;3.41;1.39;-2.08;-0.35;0.22;-0.47;2;68611;456;66.46
114;Oliveira do Bairro;1.74;0.13;34.16;0.74;154.1;1.34;0.07;98.24;7.8;96.53;0.03;0.42;0.56;3.41;0.92;-0.6;-1.7;1;-0.48;1;23028;101;43.86
115;Ovar;1.72;0.11;37.34;0.7;127.19;1.42;0.11;74.96;7.95;96.27;0.01;0.41;0.58;3.39;0.91;-0.69;-0.23;0.12;-0.44;2;55398;846;152.71
116;São João da Madeira;2.8;0.12;40.22;0.78;125.04;1.26;0.21;82.26;8.16;95.95;0;0.45;0.55;3.46;1.36;-1.3;2.34;1.59;-0.53;3;21713;183;84.28
117;Sever do Vouga;1.7;0.18;38.38;0.65;135.55;1.54;0.03;125.43;7.48;94.68;0.04;0.47;0.49;3.36;0.37;-1.34;-1.05;0.27;0.58;1;12356;83;67.17
118;Vagos;1.65;0.05;31.95;0.64;152.37;1.54;0.04;94.52;7.58;96.75;0.05;0.35;0.6;3.4;0.22;-0.37;-1.49;0.53;-1.8;2;22851;73;31.95
119;Vale de Cambra;1.83;0.08;36.04;0.71;130.64;1.4;0.08;116.11;7.49;96.91;0.02;0.53;0.45;3.38;0.73;-1.85;-0.03;-0.26;-1.2;2;22864;199;87.04
201;Aljustrel;1.57;0.16;40.51;0.64;118.43;1.55;0.03;157.83;7.52;96.06;0.08;0.31;0.61;3.4;-0.04;-0.46;-0.4;0.27;0.83;1;9257;9;9.72
202;Almodôvar;1.56;0.14;46.82;0.56;119.83;1.77;0.04;193.02;7.57;97.49;0.07;0.32;0.61;3.27;-0.2;-0.31;-0.25;-1.64;0.85;5;7449;11;14.77
203;Alvito;1.51;0.19;41.81;0.56;135.76;1.69;0.07;161.19;7.75;95.93;0.14;0.18;0.68;3.38;-0.14;0.62;-1.3;0.54;1.4;1;2504;0;0
204;Barrancos;1.52;0.08;48.52;0.54;98.33;1.8;0.05;142.06;7.69;97.71;0.1;0.22;0.68;3.37;-0.47;0.09;0.84;-1.17;0.41;5;1834;0;0
205;Beja;1.73;0.11;48.62;0.69;121.88;1.43;0.09;106.73;8.63;96.97;0.07;0.12;0.81;3.41;0.6;1.17;0.11;0.22;0.92;3;35854;233;64.99
206;Castro Verde;1.53;0.13;47.66;0.6;123.4;1.66;0.05;132.34;7.78;95.27;0.07;0.29;0.63;3.33;0.13;-0.35;-0.38;-0.75;1.04;1;7276;5;6.87
207;Cuba;1.51;0.19;40.25;0.6;146.81;1.64;0.08;141.69;7.8;98.24;0.11;0.18;0.71;3.44;0.06;1.11;-2.04;1.3;1.13;1;4878;14;28.7
208;Ferreira do Alentejo;1.52;0.16;50.35;0.63;124.66;1.56;0.06;161.9;7.41;96.75;0.25;0.18;0.57;3.39;0.02;-0.21;-0.59;-0.23;1.82;1;8255;9;10.9
209;Mértola;1.5;0.18;51.67;0.37;100.15;2.71;0.02;263.69;6.98;96.93;0.15;0.21;0.64;3.25;-1.94;0.04;0.58;-1.86;1.94;5;7274;19;26.12
210;Moura;1.52;0.12;46.82;0.54;117.23;1.83;0.06;111.58;7.46;96.84;0.17;0.19;0.64;3.34;-0.2;0.12;-0.25;-1.04;0.71;5;15167;130;85.71
211;Odemira;1.54;0.16;40;0.52;102.69;1.85;0.06;160.98;7.71;98.66;0.23;0.19;0.58;3.34;-0.4;0.38;0.04;-1.02;0.72;5;26066;138;52.94
212;Ourique;1.52;0.16;48.9;0.55;118.39;1.81;0.05;232.98;7.36;96.92;0.12;0.21;0.67;3.37;-0.69;0.07;-0.09;-0.17;1.72;1;5389;44;81.65
